Date,Actual Return,Predicted Return,Actual Volatility,Predicted Volatility,Return Error,Volatility Error,Abs Return Error,Abs Volatility Error
2023-07-25,0.017009093699309134,0.015949114528963484,0.0,0.0,0.0010599791703456499,0.0,0.0010599791703456499,0.0
2023-07-26,-0.03763747501566025,0.01062013568400198,0.0,0.0,-0.04825761069966222,0.0,0.04825761069966222,0.0
2023-07-27,-0.020872206266250387,-0.02748230497980041,0.0,0.0,0.006610098713550023,0.0,0.006610098713550023,0.0
2023-07-28,0.023131337054701242,-0.012660734745336856,0.0,0.0,0.0357920718000381,0.0,0.0357920718000381,0.0
2023-07-31,-0.007240458066213507,0.01576659338624318,0.0,0.0,-0.023007051452456684,0.0,0.023007051452456684,0.0
2023-08-01,0.0012502318399128594,0.001522261762268201,0.0,0.0,-0.00027202992235534165,0.0,0.00027202992235534165,0.0
2023-08-02,-0.02628297328584166,-0.0008358078580525091,0.0,0.0,-0.025447165427789152,0.0,0.025447165427789152,0.0
2023-08-03,-0.0025648451571438774,-0.02588125921582089,0.0,0.0,0.023316414058677012,0.0,0.023316414058677012,0.0
2023-08-04,0.003428682040382592,-0.009430122349442646,0.0,0.0,0.012858804389825238,0.0,0.012858804389825238,0.0
2023-08-07,0.007108479172974283,-0.003343775290881494,0.019172228971842457,0.015550242134555314,0.010452254463855778,0.003621986837287143,0.010452254463855778,0.003621986837287143
2023-08-08,-0.012299063581350345,0.0017382841392864917,0.017745464404333645,0.01415415853567601,-0.014037347720636837,0.003591305868657635,0.014037347720636837,0.003591305868657635
2023-08-09,-0.011715857670764305,-0.006915706635055577,0.014378846645983502,0.013047090323608082,-0.0048001510357087275,0.0013317563223754197,0.0048001510357087275,0.0013317563223754197
2023-08-10,0.0021721828873154927,-0.00836061662087466,0.013287402798355637,0.010895091325402092,0.010532799508190152,0.0023923114729535455,0.010532799508190152,0.0023923114729535455
2023-08-11,-0.005945467692115511,0.00022357759912779667,0.009837087930994751,0.010625989036622336,-0.006169045291243308,-0.0007889011056275846,0.006169045291243308,0.0007889011056275846
2023-08-14,0.009438929798477606,-0.006877699517024154,0.010819357554030866,0.008183969037648236,0.01631662931550176,0.00263538851638263,0.01631662931550176,0.00263538851638263
2023-08-15,-0.006727506258378475,0.0041406805391576325,0.010720491520897206,0.008481328416105187,-0.010868186797536109,0.0022391631047920194,0.010868186797536109,0.0022391631047920194
2023-08-16,-0.002428613814937282,0.000789245738370355,0.007450255749782926,0.008596566042617238,-0.003217859553307637,-0.0011463102928343117,0.003217859553307637,0.0011463102928343117
